"Category","Average consumption adequacy of Kilocalories (kcal) (ADM2_EN)","Average consumption adequacy of Kilocalories (kcal) (value)"
0,"Balaka",99.17
1,"Balaka",99.17
2,"Blantyre",99.31
3,"Blantyre",99.31
4,"Blantyre City",99.21
5,"Blantyre City",99.21
6,"Chikwawa",99.66
7,"Chikwawa",99.66
8,"Chiradzulu",99.84
9,"Chiradzulu",99.84
10,"Chitipa",97.05
11,"Chitipa",97.05
12,"Dedza",97.05
13,"Dedza",97.05
14,"Dowa",97.27
15,"Dowa",97.27
16,"Karonga",99.22
17,"Karonga",99.22
18,"Kasungu",98.26
19,"Kasungu",98.26
20,"Likoma",100
21,"Likoma",100
22,"Lilongwe",98.25
23,"Lilongwe",98.25
24,"Lilongwe City",99.73
25,"Lilongwe City",99.73
26,"Machinga",98.79
27,"Machinga",98.79
28,"Mangochi",99.45
29,"Mangochi",99.45
30,"Mchinji",96.96
31,"Mchinji",96.96
32,"Mulanje",99.87
33,"Mulanje",99.87
34,"Mwanza",98.43
35,"Mwanza",98.43
36,"Mzimba",98.35
37,"Mzimba",98.35
38,"Mzuzu City",97.85
39,"Mzuzu City",97.85
40,"Neno",99.22
41,"Neno",99.22
42,"Nkhata Bay",99.41
43,"Nkhata Bay",99.41
44,"Nkhotakota",98.79
45,"Nkhotakota",98.79
46,"Nsanje",99.08
47,"Nsanje",99.08
48,"Ntcheu",98.25
49,"Ntcheu",98.25
50,"Ntchisi",98.58
51,"Ntchisi",98.58
52,"Phalombe",99.78
53,"Phalombe",99.78
54,"Rumphi",99.69
55,"Rumphi",99.69
56,"Salima",97.85
57,"Salima",97.85
58,"Thyolo",99.63
59,"Thyolo",99.63
60,"Zomba",98.73
61,"Zomba",98.73
62,"Zomba City",99.34
63,"Zomba City",99.34
